I_D,FLAG_TSUNAMI,YEAR,MAGNITUDE,COUNTRY,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,DEATHS
5414,No,1995,6.8,CHINA,"CHINA: YUNNAN PROVINCE: LANCANG, MENGLIAN; THAILAND",21.966,99.196,30,11
5415,No,1995,5.6,CHINA,"CHINA:  GANSU, YONGDENG, BAIYIN, DINGXI, JINGTAI",36.427,103.123,30,14
5416,Yes,1995,8,CHILE,"CHILE:  ANTOFAGASTA, CALAMA, MEJILLONES",-23.34,-70.294,160,3
5417,Yes,1995,7.7,PAPUA NEW GUINEA,"PAPUA NEW GUINEA:  RABAUL, KOKOPO, NEW BRITAIN",-5.799,154.178,170,
5418,Yes,1995,7.4,MEXICO,"MEXICO:  GUERRERO, OAXACA, PUEBLA, MEXICO CITY",16.779,-98.597,150,3
5419,No,1995,6.4,TURKEY,"TURKEY:   DINAR, EVCILER",38.063,30.134,140,95
5420,No,1995,7,ECUADOR,ECUADOR:  QUITO,-2.75,-77.881,160,2
5421,No,1995,6,USA,ALASKA:  FAIRBANKS NORTH STAR COUNTY,65.17,-148.565,150,
5422,No,1995,6.8,INDONESIA,"INDONESIA:  SUMATERA, JAMBI PROVINCE",-2.045,101.436,60,84
5423,Yes,1995,8,MEXICO,"MEXICO:  JALISCO, MANZANILLO, SAN PATRICIO MELAQUE",19.055,-104.205,150,49
6495,Yes,1995,7.1,JAPAN,JAPAN:  RYUKU IS.,27.929,130.175,30,
6496,Yes,1995,6.8,JAPAN,JAPAN:  RYUKU IS.,28.094,130.148,30,
5424,No,1995,6.2,CHINA,CHINA:  YUNNAN PROVINCE:  WUDING,26.003,102.227,30,81
6606,Yes,1995,6.7,CHILE,CHILE:  NEAR CENTRAL COAST,-28.906,-71.417,160,
5426,Yes,1995,7.2,EGYPT,EGYPT:  NUWAYBI; SAUDI ARABIA; ISRAEL; JORDAN,28.826,34.799,15,11
5427,Yes,1995,7.9,RUSSIA,"RUSSIA:  KURIL ISLANDS:  ITURUP, MATUA, KUNASHIR",44.663,149.3,50,
5428,Yes,1996,7.9,INDONESIA,"INDONESIA:  SULAWESI: MINAHASSA PENINSULA, TOLITOLI",0.729,119.931,170,
5430,No,1996,6.6,CHINA,CHINA:  YUNNAN PROVINCE:  LIJIANG,27.291,100.276,30,322
5433,Yes,1996,8.2,INDONESIA,"INDONESIA:  NEW GUINEA:  IRIAN JAYA:  BIAK, SUPIORI",-0.891,136.952,170,54
5435,Yes,1996,7.5,PERU,"PERU:  NORTHERN:  CHIMBOTE, CALLAO",-9.593,-79.587,160,
6497,Yes,1996,7.1,MEXICO,MEXICO:  OFF COAST OF GUERRERO,15.978,-98.07,150,
5436,No,1996,6.3,CHINA,"CHINA:  S. XINJIANG:   ARTUX, JIASHI, BACHU, KASHI",39.993,76.696,40,24
5437,No,1996,5.9,ECUADOR,"ECUADOR:  COTOPAXI, PASTAZA, TUNGURAHUA, AMBATO",-1.036,-78.737,160,27
5438,No,1996,7.2,SOLOMON ISLANDS,SOLOMON ISLANDS:  BOUGAINVILLE ISLAND,-6.518,154.999,170,1
5439,No,1996,6,CHINA,"CHINA:  NEI MONGOL:  BAOTOU, BEIJING, HOHHOT",40.774,109.661,30,23
5440,Yes,1996,7.9,USA,ALASKA:  ANDREANOF ISLANDS,51.564,-177.632,150,
6498,Yes,1996,7.3,USA,ALASKA:  ANDREANOF ISLANDS,51.478,-176.847,150,
6499,Yes,1996,5.7,JAPAN,"HONSHU ISLAND, JAPAN",31.555,139.931,30,
6500,Yes,1996,6.9,CHILE,CHILE:  EASTER ISLAND REGION,-22.118,-113.436,160,
5441,No,1996,6,CROATIA,"BALKANS NW:  CROATIA:  STON, SLANO",42.803,17.936,130,
10233,Yes,1996,6.8,TAIWAN,TAIWAN REGION,21.898,121.498,30,
6332,Yes,1996,6.6,JAPAN,JAPAN:  KYUSHU ISLAND,30.568,131.093,30,
6607,Yes,1996,6.7,JAPAN,JAPAN:  KYUSHU ISLAND,31.885,131.468,30,
5442,Yes,1996,7.7,PERU,"PERU:  CHINCHA ALTA, ACARI, NAZCA, MARCONA",-14.993,-75.675,160,14
6501,Yes,1996,6.7,JAPAN,JAPAN:  KYUSHU,31.789,131.314,30,
5443,No,1997,5.8,KYRGYZSTAN,"KYRGYZSTAN:  DZHERGETAL, KOSHTEBE, KAZARMAN",41.026,74.284,40,
5444,No,1997,7.2,MEXICO,"MEXICO:  MICHOACAN, ARTEAGA",18.219,-102.756,150,1
5445,No,1997,4.7,ALBANIA,"ALBANIA:  BERAT, URA VAJGURORE, GRAMSH, CERRIK",40.956,19.672,130,
5446,No,1997,5.9,CHINA,CHINA:  SOUTHERN XINJIANG:  JIASHI COUNTY,39.474,76.998,40,12
5447,No,1997,6.5,IRAN,"IRAN:  BOJNURD, SHIRVAN, ESFARAYEN",37.661,57.291,140,88
5449,No,1997,7.1,PAKISTAN,"PAKISTAN:  HARNAI-SIBI, QUETTA",29.976,68.208,60,60
5450,No,1997,6.1,IRAN,IRAN:  ARDABIL,38.075,48.05,140,1100
5452,No,1997,5.6,CHINA,"CHINA:  S. XINJIANG, JIASHI COUNTY, KASHI",39.422,76.839,40,2
5453,No,1997,4.9,PAKISTAN,"PAKISTAN:  BAJAUR, CHITRAL",34.872,71.62,60,15
5454,No,1997,6.1,JAPAN,"JAPAN:  KYUSHU, KAGOSHIMA",31.92,130.429,30,
5455,No,1997,5.9,CHINA,"CHINA:  S. XINJIANG, JIASHI COUNTY",39.513,76.865,40,
5456,No,1997,6,CHINA,CHINA:  S. XINJIANG,39.537,76.998,40,
5457,No,1997,6.2,CHINA,"CHINA:  S. XINJIANG, BACHU, SHULE, YINGJISHA",39.527,76.941,40,9
5458,Yes,1997,7.7,SOLOMON ISLANDS,SOLOMON ISLANDS:  SANTA CRUZ ISLANDS; VANUATU,-12.584,166.676,170,
5459,No,1997,6.7,TRINIDAD AND TOBAGO,TOBAGO,11.112,-60.892,90,
7201,No,1997,6.5,USA TERRITORY,GUAM,13.986,144.901,170,
5461,No,1997,7.2,IRAN,"IRAN:  BIRJAND, GHAEN",33.825,59.809,140,1728
5463,No,1997,6.4,AFGHANISTAN,"AFGHANISTAN:  HINDU-KUSH, MALAKAND-PESHAWAR",36.411,70.945,40,1
5465,No,1997,5.8,INDIA,INDIA:  SOUTHERN:  JABALPUR,23.083,80.041,60,56
5466,No,1997,5.9,IRAN,"IRAN:  BIRJAND, QAYEN",33.938,59.475,140,
5467,Yes,1997,7,VENEZUELA,VENEZUELA:  CARIACO-CUMANA,10.598,-63.486,90,81
5469,No,1997,5,SOUTH AFRICA,SOUTH AFRICA:  AVGOLD'S HARTEBEESTFONTEIN MINE,-26.857,26.619,10,15
5471,No,1997,6,INDONESIA,"INDONESIA:  N. SUMATERA, ACEH, BANDA ACEH, MEDAN",4.358,96.494,60,
5472,No,1997,5.7,ITALY,"ITALY:  CENTRAL:  MARCHE, UMBRIA",43.048,12.879,130,
5473,No,1997,6,ITALY,"ITALY:  CENTRAL:  MARCHE, UMBRIA",43.084,12.812,130,14
5474,No,1997,5.9,INDONESIA,"INDONESIA:  SULAWESI, PAREPARE",-3.776,119.727,170,20
7447,Yes,1997,6.2,JAPAN,JAPAN:  HONSHU:  S,31.959,141.878,30,
6820,Yes,1997,7.7,TONGA,TONGA ISLANDS,-22.101,-176.772,170,
5475,No,1997,7.1,CHILE,"CHILE:  PUEBLO NUEVO, COQUIMBO, LA CHIMBA",-30.933,-71.22,160,8
5476,No,1997,7.5,CHINA,CHINA:  TIBET (XIZANG PROVINCE),35.069,87.325,40,
5477,No,1997,6.6,GREECE,"GREECE:  IONIAN SEA, AMALIAS, GARGALIANOI, KALAMAI",37.57,20.656,130,
5478,No,1997,6.1,INDIA,"INDIA-BANGLADESH:  CHITTAGONG, BANGLADESH",22.212,92.702,60,23
5479,No,1997,7,INDONESIA,"INDONESIA:  SULAWESI:  MINAHASSA PENINSULA,GORONTALO",1.241,122.536,170,
5480,Yes,1997,7.8,RUSSIA,"RUSSIA:  KAMCHATKA:  UST-KAMCHATSK, PETROPAVLOVSK",54.841,162.035,50,
5481,No,1998,5.7,CHINA,"CHINA:  NORTHEASTERN: SHANGYI-ZHANGBEI, HEBEI",41.083,114.5,30,70
5483,No,1998,6.6,GUATEMALA,"GUATEMALA:  QUEZALTENANGO, SAN MARCOS, SOLOLA",14.374,-91.473,100,
5484,No,1998,6.3,MEXICO,"MEXICO:  OAXACA, SAN AGUSTIN, SAN FRANCISCO",15.883,-96.298,150,
5485,No,1998,5.9,AFGHANISTAN,AFGHANISTAN:  ROSTAQ; TAJIKISTAN:  DUSHANBE,37.075,70.089,40,2323
5486,No,1998,6.4,AFGHANISTAN,"AFGHANISTAN-TAJIKISTAN:  YAR HUSAIN, ASTOR",36.479,71.086,40,1
5487,No,1998,6.6,IRAN,"IRAN:  GOLBAF, BAFT, KERMAN",30.154,57.605,140,5
5488,No,1998,5.6,CHINA,"CHINA:  SOUTHERN XINJIANG: ARTUX, KASHGAR",39.977,76.731,40,
5489,Yes,1998,8.1,ANTARCTICA,BALLENY ISLANDS,-62.877,149.527,20,
5490,No,1998,5.2,ITALY,"ITALY:  CENTRAL:  GUALDO, TADINO-NOCERA UMBRA",43.164,12.701,130,
5491,No,1998,5.8,IRAN,"IRAN:  BIRJAND, GONABAD",32.457,59.976,140,12
5492,No,1998,5.7,AUSTRIA,"AUSTRIA:  ARNOLDSTEIN; SLOVENIA:  BOVEC, KOBARID",46.245,13.652,120,1
6502,Yes,1998,7.5,TAIWAN,TAIWAN,22.306,125.308,30,
5493,No,1998,6.6,BOLIVIA,"BOLIVIA:  CENTRAL:  AIQUILE, TOTORA",-17.731,-65.431,160,105
5494,No,1998,5.6,CHINA,CHINA:  SOUTHERN XINJIANG,37.388,78.843,40,
5495,No,1998,6.6,AFGHANISTAN,"AFGHANISTAN:  BADAKHSHAN, TAKHAR",37.106,70.11,40,4700
10482,Yes,1998,6.2,JAPAN,"SANRIKU, JAPAN",39.027,143.441,30,
5497,No,1998,6.3,TURKEY,"TURKEY:  ADANA, CEYHAN",36.878,35.307,140,145
5498,No,1998,6.2,AZORES (PORTUGAL),"AZORES:  FAIAL, PICO, TERCEIRA",38.65,-28.626,130,10
5499,No,1998,6,ARMENIA,"ARMENIA-AZERBAIJAN-IRAN:  ASTARA, BILASUVAR, IMISLI",38.717,48.507,40,
5500,No,1998,5.7,TAIWAN,"TAIWAN:  CHIA-I, TAINAN, HUALIEN, KAO-HSIUNG",23.407,120.736,30,5
5501,Yes,1998,7,PAPUA NEW GUINEA,PAPUA NEW GUINEA:  SISSANO,-2.943,142.582,170,
5502,No,1998,7.2,ECUADOR,"ECUADOR:  BAHIA DE CARAQUEZ, CANOA",-0.593,-80.393,160,3
5503,No,1998,6.4,CHINA,CHINA:  SOUTHERN XINJIANG:  JIASHI,39.66,77.343,40,3
5504,No,1998,6.6,INDONESIA,"INDONESIA:  JAWA, MALANG, BLITAR, BANTUR",-8.194,112.413,60,1
5505,No,1998,5.5,SERBIA,"BALKANS NW:  SERBIA:  BELGRADE, LJIG, VALJEVO",44.209,20.08,130,1
5506,No,1998,5.3,ALBANIA,"ALBANIA:  KUKES, PESHKOPI",41.925,20.39,130,
5507,No,1998,5.4,IRAN,"IRAN:  WESTERN:  DARREH SHAHR, POL-E-DOKHTAR",33.199,47.225,140,
5508,No,1998,5.4,IRAN,IRAN:  SOUTHERN:  BIGHERD-KHONJ,27.791,53.608,140,5
5509,No,1998,5.6,CHINA,"CHINA:  SICHUAN PROVINCE: HUAPING, LIJIANG, NINGLAG",27.308,101.029,30,5
5510,Yes,1998,7.7,INDONESIA,"INDONESIA:  MANGOLE, MANADO, TALIABU",-2.071,124.891,170,41
5511,No,1998,4.5,CHINA,CHINA:  YUNNAN PROVINCE  SOUTHEASTERN,26.373,104.021,30,
5512,No,1999,6.2,COLOMBIA,"COLOMBIA:  ARMENIA, CALARCA, PEREIRA, CALDAS, HUILA",4.461,-75.724,160,1185
5514,No,1999,3.2,RUSSIA,"RUSSIA:  MAKHACHKALA, DAGESTAN",42.962,46.954,40,
5515,No,1999,4.8,SPAIN,"SPAIN:  MULA, PUEBLA DE MULA",38.193,-1.566,130,
5516,No,1999,6,AFGHANISTAN,"AFGHANISTAN:  LOWGAR, VARDAK, KABUL",34.259,69.364,40,70
5517,No,1999,6.6,IRAN,IRAN:  SOUTHERN:  KERMAN,28.343,57.193,140,1
5518,No,1999,5.1,CHINA,CHINA:  NE: ZHANGBEI COUNTY,41.131,114.658,30,
